ሰላም ለኪ	nagaan isiniif haa ta'u
አነ ውእቱ	ana dha
ሰላም ለከ	akkam jirtu
መኑ ስምከ	maqaan eenyu
ቡሩክ ሀሎ	innis eebbifamaa jedhe
ንህነ ውእቱ	nuti dha
አንተ ውእቱ	ati dha
ቦቱ ምሕረት	dhiifama qabaate
አልቦ ጠቢብ	ogummaan hin jiraatu
አልቦ ሁከት	jeequmsi hin turre
አምን ሥላሴ	sadan tokkummaatti ni amanna
ርቱዕ ይደሉ	dhugaadha
ሚመ ኢይብል	homaa hin jedhinaa
እም ጎንደር	gondar irraa
ወሰላም ለከ	akkam jirtu isinis
ሰላም ኵልክሙ	waaqayyo hunda keessan waliin haa ta'u
ሕዳጥ የአክል	xiqqootu gahaadha
ምንት ተገብረ	maaltu godhame
ወመሀሩ በህየ	achittis wangeela lallabaa turan
አይቴ ብሄሮሙ	biyyi isaanii eessa jirti
ሥርዓተ ቅዳሴ	sirna qiddaasee
እፎ ሐደርክሙ	akkam jirta
ወገሠጾ ወፈነዎ	namicha cimsee of eeggachiisee
ሕዳጥ አሣ ብነ	qurxummii tokko tokko qabna
አኮ ሒጣን ቃል	dubbiin koo soba miti
ማእዜ ይትመየጥ	yoom deebi'a
ጸሎት ዘዘወትር	kadhannaa yeroo hundaa
አይቴኑ ብሔርከ	biyyi keessan eessa jirti
ወፈረየ አሥዋከ	garuu qoree ni argamsiise
አልቦ ማህለቅት	dhuma hin qabu
ምንትኑ ግብርከ	hojiin kee maali
ግብረ ሐዋርያት	hojii ergamootaa
ነአምን በሥላሴ	sadan tokkummaatti ni amanna
ውደሴ ዘማርያም	galata maariyaam
ምስለ መንፈስከ	hafuura kee wajjin
ተንሥኡ ለጸሎት	kadhannaadhaaf ka'an
ኢታፍቅሩ ውዳሴ	faarfannaa hin jaallatin
ግብረ ሐዋርያት	hojii ergamootaa
ራእዩ ለዮሐንስ	mul'ata yohannis
ራእዩ ለዮሐንስ	mul'ata yohannis
ወመኑ ስመ አቡከ	maqaan abbaa kee maali
ኀበ ሰብአ ሮሜ	gara warra roomaa
አኮ አነ መምህር	ani barsiisaa miti
ጽድቅ አኮ ይሁዳ	yihudaa qajeelaa miti
አኮ ጽድቅ ይሁዳ	yihudaan qajeelaa miti
ዝኩ ውእቱ ወሬዛ	kun dargaggeessa dha
አይ ይሴፎ ነዳይ	hiyyeessi maal abdata
ሒጣን አኮ ቃልየ	gowwoomsuun jecha koo miti
ግብረ ሐዋርያት	hojii ergamootaa
ሙታን አኮ ንህነ	nuti hin duune
አኮ ሙታን ንህነ	nuti hin duune
እግዚኦ ተሣሃለነ	gooftaa dhiifama nuuf godhi
ግብር እፎ ውእቱ	hojiin akkam
መኑ ውእቱ ዝንቱ	maali kun
መጽአ ብየ ከይሲ	bofa natti dhufe
ዛቲ ይእቲ ዱዲትነ	sun akkoo keenya
መልእክተ ጴጥሮስ	ergaa phethros
ኢዮብ ውእቱ ስምየ	maqaan koo iyoob jedhama
አነ ውእቱ መርድእ	ani barattuudha
ውእቱ መጽአ ኃቤየ	innis gara koo dhufe
ወልደ እግዚአብሔር	ilma waaqayyoo
አልዕሉ አልባቢክሙ	oneen kee ol kaasi
ገዳም ውእቱ ብሔር	biyyi gammoojjiidha
አንቲ ሰተይኪ ማየ	ati bishaan dhugde
ገብረ ጸላዊ ዘንተ	diinni kana godhe
ህየ ንሰግድ ኩልነ	hundi keenya achitti waaqeffanna
ቆመ ማዕከለ ባሕር	innis galaana gidduutti dhaabbate
ሰባኪ ውእቱ አቡዬ	abbaan koo isa barsiise
ተናገር ጽድቀ ጽመ	dhugaa jiru qofa dubbadhu
አይ ይሰምዕ ቃለከ	dubbii kee eenyutu dhaga'a
ምንተ እነግር አነ	maal dubbachaa jira
እፎ ይከውን ዝንቱ	kun akkamitti ta'a
ናሁኬ በጽሐ ጊዜሁ	amma qilleensi ga'eera
ሐሰ ኢይዜኀር አነ	hojjechuun narra hin jiru
እወ ይኩን ቃልክሙ	dubbiin kee eeyyee haa ta'u
እወ እብለክሙ አነ	eeyyeen isiniin jedha
እፎ ውእቱ ብእሲሁ	namichi akkam jira
ብእሴ እግዚአብሔር	nama waaqayyoo
እስፍንቱ አዝማኒከ	umuriin kee meeqa
አነ ቀተልኩ ከይሴ	ani bofa ajjeese
ከንቱ ውእቱ ዓለም	addunyaan kun faayidaa hin qabdu
ሰኣሊ ለነ ቅድስት	yaa qulqulleetti nuuf kadhadhu
አቅሥፎኬ ወእኅድጎ	kanaafis adabeen gad isa dhiisa jedhe
ቦቱ ሕይወት ወሞት	jireenyaa fi du'a qaba ture
መልእክተ ያዕቆብ	ergaa yaaqoob
እም አይቴ መፃእከ	eessaa dhufte
ውስተ ጽባሕ ነጽሩ	gara bahaa ilaalaa
ዓቢይ እግዚአብሔር	waaqayyo guddaadha
ሰኣሊ ለነ ቅድስት	yaa qulqulleetti nuuf kadhadhu
ኢዮብ ጻድቅ ውእቱ	iyoob qajeelaa dha
ወሰላም ለከ እኁየ	nagaan siif haa ta'u obboleessa koo
ቃልየ እሙን ውእቱ	dubbiin koo amanamaa dha
ምንት ውእቱ ምክሮሙ	gorsi isaanii maali
እለ ትነብሩ ተንሥኡ	waari kan ta'an ol ka'i
ዝንቱ ውእቱ ወልድየ	kun ilma kooti
ዛቲ ይእቲ መርያትዬ	sun obboleettii kooti
እግዚእ ኀረየ ሰባኬ	gooftaan lallabaa filate
ኵነኔየ ጽድቅ ውእቱ	murtiin koo dhugaadha
መኑ የአምር ሕሊናከ	yaada kee eenyutu beeka
ዝንቱ አኮ ግእዘንነ	kun aadaa keenya miti
ኦ ማርያም ናፈቅረኪ	yaa maariyaam si jaallanna
አኮ ዝንቱ ግእዘንነ	kun aadaa keenya miti
ንስቲት ይእቲ ልሳን	arrabni xiqqaadha
ሰሎሞን ጥቀ ኢለብሰ	solomoon illee uffatee ture
አንተ ፈጠርከ ብእሴ	ati nama uumte
መነ የሐስሱ አይሁድ	yihudoonni eenyuun barbaadu
ወተናጸሩ ገጸ በገጽ	fuula fuulatti wal ilaalaa
አእኵትዎ ለአምላክነ	waaqa keenya galateeffadhaa
ዝንቱ ውእቱ ወልድየ	kun ilma kooti
አንተ ረከብከ ንዋየ	ati maallaqa argatte
ወዘሥራይ ኢይሕየው	lubbuun akka hin hafne hin hayyaminaa
አይቴ ሖረ ይመስለከ	eessa dhaqe jedheen yaada
እትቤቀል አነ ላዕሌ	ani isa irratti nan murteessa
ለሐኰ ለሐኵ ልሑኵተ	suphee hojjete suphee hojjete
ኀበ ቅድስት ማርያም	gara qulqulleettii maariyaam
በህየ እገብር ፋሲካ	ayyaana faasikaa achitti nan kabaja
አይኑ ፈውስ ተገብረ	fayyinni akkamii raawwatame
አሐውር ከሃ ወእጼሊ	achi dhaqee kadhadha
ሀደገ ቤቶ ወንብረቶ	manaa fi qabeenya isaa dhiisee deeme
ሳኒታ ይመጽእ መርዓዊ	misirroon boru ni dhufa
እሉ አብያፂከ ውእቶሙ	isaan kun waardiyyoota
ወመኑ ለቅሖ ወተፈድዮ	eenyutu waa isaaf kennee dubbifata
እንዳኢ ይቤሉ አሕዛብ	ormoonni jedhu
እንጋ የሐዩኑ ወልድየ	ilmi koo haa fayyu
ወበኣምልኮቱ ያጽንኣነ	isa waaqeffachuuttis akka nu cimsuuf
እንከሰ ተገብሩ ግብረ	garuu sana booda hojii sana hojjedhu
ኀበ ሰብአ ቆሮንቶስ	gara warra qorontos
እስመ ለዓለም ምሕረቱ	arjummaansaa barabaraani hoo
ዐሠርቱ ሰዓት ይመጽአ	sa'aatiin kudhan ni dhufa
ይኲነኒ በከመ ትቤለኒ	narratti haa raawatamu
ወነበሩ የአቅብዎ ህየ	achitti eegaa turan
አንትን ትገብራ ግብረ	isaan hojii sana isin hojjettu
ወበልዑ ኵሎሙ ወጸግቡ	isaan hundumtinuu nyaatanii in quufan
ወነበሩ የዐቅብዎ ህየ	kana booddee isaan taa'anii achitti isa eegan
ተማዕከ አንተ መዓተከ	murtii kee irratti murteessi
ሰባሕኩከ አነ በደብር	gaara keessatti si mul'ise
